Toplam Sandık Sayısı,180524,,,,,,,,,,,,,,,,,
Açılan Sandık Sayısı,180524,,,,,,,,,,,,,,,,,
Oy Kullanan Seçmen Sayısı,49664165,,,,,,,,,,,,,,,,,
Açılan Sandıklardaki Kayıtlı Seçmen Sayısı,56406836,,,,,,,,,,,,,,,,,
Geçerli Oy Sayısı,48631366,,,,,,,,,,,,,,,,,
Kayıtlı Seçmen Sayısı,56322632,,,,,,,,,,,,,,,,,
Seçime Katılma Oranı,%88.18,,,,,,,,,,,,,,,,,
Geçersiz Oy Toplamı,1032799,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sıra No,İl Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,İtirazsız Geçerli Oy Sayısı,İtirazlı Geçerli Oy Sayısı,Toplam Geçerli Oy,Toplam Geçersiz Oy,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BAĞIMSIZ TOPLAM OY
1,ADANA,1526827,1313497,1268169,21098,1289267,24230,432103,150093,6992,2395,172831,337497,13738,159022,11404,2779,413
2,ADIYAMAN,399766,345098,336381,3,336384,8714,183772,30521,4249,571,51641,39720,5514,17753,2280,363,0
3,AFYONKARAHİSAR,507706,459166,447355,0,447355,11811,243613,62038,977,1138,3382,63810,4965,60706,5846,880,0
4,AĞRI,296375,232345,224267,0,224267,8078,62284,5171,1731,402,142683,5421,1813,3501,821,153,287
5,AKSARAY,267068,232175,226977,1,226978,5197,125326,46588,639,441,2461,21756,1886,24193,3337,351,0
6,AMASYA,246896,225566,220743,0,220743,4823,101546,27198,359,447,3982,54803,2469,27122,2350,467,0
7,ANKARA-1,1401859,1250107,1229869,1564,1231433,18674,364122,130264,1146,3178,105479,440621,16959,153949,10342,4349,1024
8,ANKARA-2,1185237,1056573,1040191,3,1040194,16379,520733,154449,1226,1952,39635,180734,16096,109646,13379,2344,0
9,ANKARA-3,1322490,1185636,1168663,0,1168663,16973,466935,162684,1325,2234,63678,278375,18679,158152,12546,3586,469
10,ANTALYA,1683522,1468770,1435887,3,1435890,32880,485103,143406,3131,3798,100782,420963,13781,246905,12237,4499,1285
11,ARDAHAN,69575,58863,56674,0,56674,2189,20431,3746,203,202,13358,14688,569,2900,435,142,0
12,ARTVİN,131386,115066,111989,2,111991,3075,44100,11269,325,423,5076,36105,1641,11600,1102,350,0
13,AYDIN,816894,726243,703800,5739,709539,16704,222373,56416,1795,2594,64644,242894,4939,106555,5032,2297,0
14,BALIKESİR,947177,858214,837999,608,838607,19607,338879,62255,1500,2812,32275,256303,9811,125333,6665,2549,225
15,BARTIN,146984,128658,123090,5,123095,5563,56620,20894,345,662,1502,31404,2639,7199,1500,330,0
16,BATMAN,342380,293091,284060,0,284060,9031,67789,2833,0,420,180318,3740,8971,3127,633,231,15998
17,BAYBURT,56249,48364,47637,0,47637,727,27008,13128,77,47,338,1823,1571,2941,662,42,0
18,BİLECİK,154403,140203,137212,2,137214,2989,58110,12666,454,375,4040,38807,1539,19656,1160,407,0
19,BİNGÖL,181265,147204,140415,0,140415,6789,77051,8075,6296,332,38050,2503,1517,5661,801,129,0
20,BİTLİS,198961,165568,159518,0,159518,6050,70488,6242,1809,526,69110,3583,1767,5142,741,110,0
21,BOLU,223121,199734,195412,163,195575,4159,100154,29100,374,562,3140,39527,2998,16842,2353,525,0
22,BURDUR,196733,177117,171133,0,171133,5984,72191,21284,564,736,2468,34533,2643,34726,1542,446,0
23,BURSA-1,1102185,991424,972351,0,972351,19073,410195,95343,1684,2313,42473,250893,16150,140212,9074,3129,885
24,BURSA-2,1047152,938619,921043,1,921044,17575,445559,105768,2742,2248,58408,178822,16646,98604,10029,2218,0
25,ÇANAKKALE,407273,371045,362837,1,362838,8207,131900,24648,699,1215,12069,123725,2786,61873,2476,1184,263
26,ÇANKIRI,134311,118106,115544,0,115544,2562,67305,22626,203,241,702,7277,1270,13856,1839,225,0
27,ÇORUM,391400,356078,348187,1,348188,7890,178083,48622,620,840,11230,70591,3801,29586,4157,658,0
28,DENİZLİ,749055,682660,663453,543,663996,18664,263997,60468,1714,2121,24029,187080,5532,111117,5282,2083,573
29,DİYARBAKIR,1024929,856317,826241,1,826242,30075,167805,9828,0,1155,554172,16562,13955,22575,1828,607,37755
30,DÜZCE,268337,244322,239644,0,239644,4678,132021,44739,303,624,3818,34297,3584,16221,3541,496,0
31,EDİRNE,311104,275162,268064,13,268077,7085,73630,13104,607,863,8744,123252,2765,42614,1247,1033,218
32,ELAZIĞ,412412,349331,327536,13290,340826,8505,183604,46028,5197,559,33633,35651,6078,26396,3248,432,0
33,ERZİNCAN,162532,146355,144035,0,144035,2320,63013,26786,138,148,7615,36902,1589,5983,1654,207,0
34,ERZURUM,494291,431114,422817,0,422817,8297,227575,78125,833,680,49885,16790,7515,34644,6199,571,0
35,ESKİŞEHİR,646221,575177,563793,274,564067,11110,212446,55273,758,1398,21797,183089,6270,75465,5145,2149,277
36,GAZİANTEP,1216402,1039392,960940,58585,1019525,19867,515715,128473,8703,1947,119393,152162,12257,68450,10891,1534,0
37,GİRESUN,334730,290219,282861,2,282863,7356,149135,30280,802,812,2983,49930,3542,41343,3356,680,0
38,GÜMÜŞHANE,100853,80733,78858,0,78858,1875,44124,16199,220,178,654,5580,1575,9048,1154,126,0
39,HAKKARİ,168438,140276,135566,0,135566,4710,25544,4762,792,271,97337,4033,705,1633,402,87,0
40,HATAY,1042335,925282,911275,5,911280,14002,320185,131179,1511,1290,98645,281145,8189,59911,7568,1657,0
41,IĞDIR,119735,93297,91115,0,91115,2182,17737,21885,198,203,41057,2141,1836,5336,607,115,0
42,ISPARTA,312990,278869,271602,4,271606,7263,127095,35449,710,897,4503,44404,4118,50786,2906,738,0
43,İSTANBUL-1,3822256,3403734,3347770,2593,3350363,53371,1356935,270335,4766,7322,372793,972092,52353,275679,26274,9911,1903
44,İSTANBUL-2,3044957,2657989,2592445,22322,2614767,43222,1158833,208937,5320,5026,317391,648737,40999,199693,21480,7181,1170
45,İSTANBUL-3,3706330,3242484,3188383,1605,3189988,52496,1306005,265996,6514,5738,456265,808690,43300,262799,25218,8456,1007
46,İZMİR-1,1579092,1397565,1373311,81,1373392,24173,377584,78038,2276,4223,169996,569968,10758,145611,9097,4882,959
47,İZMİR-2,1653277,1483365,1453287,1318,1454605,28760,398659,94889,2449,4725,149819,610799,11689,165801,9315,5467,993
48,KAHRAMANMARAŞ,739457,661140,648790,0,648790,12350,375008,105917,1531,1323,22252,61433,9848,63283,7388,807,0
49,KARABÜK,176018,154405,150054,3,150057,4348,79446,20274,323,552,1486,24744,2605,18490,1763,374,0
50,KARAMAN,173867,156830,152972,0,152972,3858,80498,22826,356,521,1671,24608,2431,17884,1877,300,0
51,KARS,182194,147467,143051,0,143051,4416,52791,10145,424,414,46285,20207,973,10597,993,222,0
52,KASTAMONU,285917,249191,241904,0,241904,7287,123900,48471,727,1075,1524,37150,2281,22754,3496,526,0
53,KAYSERİ,954408,864726,848393,309,848702,16024,420880,182076,1479,1274,16193,102885,14733,94607,12296,1484,795
54,KIRIKKALE,199395,173824,170629,0,170629,3195,72611,41333,292,300,1881,25752,2062,23624,2378,396,0
55,KIRKLARELİ,273082,246416,241347,0,241347,5069,62148,11367,358,675,7123,116179,1434,40069,1030,903,61
56,KIRŞEHİR,166167,143297,139890,1,139891,3406,56059,23573,254,283,6029,35870,1396,14338,1669,319,101
57,KİLİS,86080,75129,73424,0,73424,1705,36706,14977,177,125,1347,10575,996,7546,845,130,0
58,KOCAELİ,1336401,1198849,1175652,10,1175662,23187,556671,132452,1843,2014,82860,235465,25950,122645,12151,3111,500
59,KONYA,1505540,1341859,1304261,8691,1312952,28907,771547,203301,2787,1996,43228,122916,31092,118899,14734,1856,596
